Date_and_Time;In_Motorcycle;In_Car;In_BusTruck;In_Total;In_PCE;In_Velocity;In_VCRatio;Out_Motorcycle;Out_Car;Out_BusTruck;Out_Total;Out_PCE;Out_Velocity;Out_VCRatio;Total_Motorcycle;Total_Car;Total_BusTruck;Total_Total;Total_PCE;Total_Velocity;Total_VCRatio
2023-01-01 00:00;46;63;9;118;86;10,7;0,01 ;1.299;357;66;1.722;768;5,4;0,11 ;1.345;420;75;1.840;854;6,1;0,06 
2023-01-01 01:00;0;0;0;0;0;;0,00 ;2.891;156;14;3.061;897;12,6;0,13 ;2.891;156;14;3.061;897;12,6;0,06 
2023-01-01 02:00;0;0;0;0;0;;0,00 ;2.011;131;8;2.150;644;13,4;0,09 ;2.011;131;8;2.150;644;13,4;0,05 
2023-01-01 03:00;0;0;0;0;0;;0,00 ;1.427;145;5;1.577;508;17,3;0,07 ;1.427;145;5;1.577;508;17,3;0,04 
2023-01-01 04:00;922;397;119;1.438;782;29,8;0,11 ;562;95;5;662;242;19,2;0,03 ;1.484;492;124;2.100;1.024;21,7;0,07 
2023-01-01 05:00;3.012;1.524;132;4.668;2.449;27,0;0,34 ;472;100;22;594;247;20,9;0,03 ;3.484;1.624;154;5.262;2.695;23,9;0,19 
2023-01-01 06:00;;;;;;;;;;;;;;;;;;;;;
2023-01-01 07:00;;;;;;;;;;;;;;;;;;;;;
2023-01-01 08:00;;;;;;;;;;;;;;;;;;;;;
2023-01-01 09:00;;;;;;;;;;;;;;;;;;;;;
2023-01-01 10:00;2.746;1.484;197;4.427;2.427;26,1;0,34 ;1.136;244;37;1.417;576;18,0;0,08 ;3.882;1.728;234;5.844;3.003;21,7;0,21 
2023-01-01 11:00;;;;;;;;1.593;342;40;1.975;792;15,3;0,11 ;1.593;342;40;1.975;792;15,3;0,11 
2023-01-01 12:00;;;;;;;;2.087;374;40;2.501;948;14,1;0,13 ;2.087;374;40;2.501;948;14,1;0,13 
2023-01-01 13:00;;;;;;;;1.989;387;33;2.409;927;15,1;0,13 ;1.989;387;33;2.409;927;15,1;0,13 
2023-01-01 14:00;519;251;14;784;399;29,7;0,06 ;1.798;394;51;2.243;910;16,6;0,13 ;2.317;645;65;3.027;1.309;20,1;0,09 
2023-01-01 15:00;2.223;742;6;2.971;1.306;27,9;0,18 ;1.636;366;39;2.041;826;16,7;0,12 ;3.859;1.108;45;5.012;2.131;21,2;0,15 
2023-01-01 16:00;1.728;318;10;2.056;763;29,9;0,11 ;1.912;337;45;2.294;874;16,9;0,12 ;3.640;655;55;4.350;1.637;20,3;0,12 
2023-01-01 17:00;1.765;425;27;2.217;901;24,6;0,13 ;2.153;401;38;2.592;989;16,1;0,14 ;3.918;826;65;4.809;1.890;18,4;0,13 
2023-01-01 18:00;1.327;335;23;1.685;697;26,4;0,10 ;2.324;385;36;2.745;1.013;14,6;0,14 ;3.651;720;59;4.430;1.709;17,5;0,12 
2023-01-01 19:00;2.888;844;24;3.756;1.597;25,3;0,22 ;2.399;358;40;2.797;1.010;14,5;0,14 ;5.287;1.202;64;6.553;2.607;19,3;0,18 
2023-01-01 20:00;2.191;680;29;2.900;1.265;21,6;0,18 ;2.362;377;30;2.769;1.007;14,5;0,14 ;4.553;1.057;59;5.669;2.272;17,7;0,16 
2023-01-01 21:00;2.166;716;17;2.899;1.280;23,4;0,18 ;2.097;350;17;2.464;896;15,4;0,13 ;4.263;1.066;34;5.363;2.176;19,1;0,15 
2023-01-01 22:00;2.630;740;33;3.403;1.440;26,1;0,20 ;1.912;282;13;2.207;777;16,6;0,11 ;4.542;1.022;46;5.610;2.217;21,1;0,16 
2023-01-01 23:00;2.012;666;29;2.707;1.207;30,6;0,17 ;1.361;216;2;1.579;559;17,6;0,08 ;3.373;882;31;4.286;1.766;24,2;0,12 
2023-01-02 00:00;1.380;548;33;1.961;936;32,1;0,13 ;961;128;8;1.097;379;20,3;0,05 ;2.341;676;41;3.058;1.315;26,2;0,09 
2023-01-02 01:00;832;458;19;1.309;691;32,8;0,10 ;532;107;3;642;244;22,7;0,03 ;1.364;565;22;1.951;935;27,7;0,07 
2023-01-02 02:00;539;235;11;785;384;34,9;0,05 ;299;60;1;360;136;23,7;0,02 ;838;295;12;1.145;520;29,2;0,04 
2023-01-02 03:00;219;186;8;413;251;35,7;0,04 ;199;64;0;263;114;24,3;0,02 ;418;250;8;676;365;29,7;0,03 
2023-01-02 04:00;174;121;9;304;176;36,0;0,02 ;267;108;5;380;181;22,8;0,03 ;441;229;14;684;357;29,1;0,03 
2023-01-02 05:00;0;0;0;0;0;;0,00 ;616;111;29;756;303;23,9;0,04 ;616;111;29;756;303;23,9;0,02 
2023-01-02 06:00;314;112;23;449;220;31,5;0,03 ;1.330;160;52;1.542;560;23,6;0,08 ;1.644;272;75;1.991;781;24,8;0,05 
2023-01-02 07:00;3.417;920;160;4.497;1.982;26,3;0,28 ;2.769;301;47;3.117;1.054;20,4;0,15 ;6.186;1.221;207;7.614;3.037;23,3;0,21 
2023-01-02 08:00;5.672;1.630;282;7.584;3.415;24,3;0,48 ;3.140;370;50;3.560;1.220;20,0;0,17 ;8.812;2.000;332;11.144;4.635;22,1;0,33 
2023-01-02 09:00;7.210;618;76;7.904;2.519;21,3;0,35 ;2.292;363;55;2.710;1.008;20,6;0,14 ;9.502;981;131;10.614;3.527;21,0;0,25 
2023-01-02 10:00;4.879;845;57;5.781;2.139;20,5;0,30 ;2.219;370;45;2.634;983;19,4;0,14 ;7.098;1.215;102;8.415;3.122;19,9;0,22 
2023-01-02 11:00;2.252;856;41;3.149;1.472;25,1;0,21 ;2.461;458;33;2.952;1.116;18,7;0,16 ;4.713;1.314;74;6.101;2.588;21,8;0,18 
2023-01-02 12:00;1.358;730;23;2.111;1.099;27,0;0,15 ;2.295;462;36;2.793;1.083;18,6;0,15 ;3.653;1.192;59;4.904;2.182;22,8;0,15 
2023-01-02 13:00;1.354;760;27;2.141;1.134;26,8;0,16 ;2.614;496;37;3.147;1.198;18,1;0,17 ;3.968;1.256;64;5.288;2.331;22,3;0,16 
2023-01-02 14:00;1.518;828;39;2.385;1.258;27,0;0,18 ;2.383;508;29;2.920;1.141;18,0;0,16 ;3.901;1.336;68;5.305;2.400;22,3;0,17 
2023-01-02 15:00;157;82;3;242;125;22,9;0,02 ;2.424;434;48;2.906;1.102;17,9;0,16 ;2.581;516;51;3.148;1.228;18,4;0,09 
2023-01-02 16:00;3.120;682;131;3.933;1.632;22,6;0,23 ;3.460;466;50;3.976;1.396;18,0;0,20 ;6.580;1.148;181;7.909;3.028;19,8;0,21 
2023-01-02 17:00;2.994;724;42;3.760;1.527;24,6;0,21 ;3.687;385;65;4.137;1.391;17,1;0,20 ;6.681;1.109;107;7.897;2.918;20,7;0,21 
2023-01-02 18:00;2.771;790;29;3.590;1.520;27,5;0,21 ;2.820;315;49;3.184;1.084;16,9;0,15 ;5.591;1.105;78;6.774;2.604;22,2;0,18 
2023-01-02 19:00;2.452;773;34;3.259;1.430;29,1;0,20 ;2.510;312;46;2.868;999;17,5;0,14 ;4.962;1.085;80;6.127;2.430;23,3;0,17 
2023-01-02 20:00;2.427;768;33;3.228;1.418;28,8;0,20 ;2.057;297;35;2.389;857;17,8;0,12 ;4.484;1.065;68;5.617;2.274;23,3;0,16 
2023-01-02 21:00;2.809;848;46;3.703;1.610;26,2;0,23 ;1.881;315;23;2.219;815;17,8;0,11 ;4.690;1.163;69;5.922;2.425;22,0;0,17 
2023-01-02 22:00;2.784;811;23;3.618;1.537;28,1;0,22 ;1.536;273;10;1.819;670;19,8;0,09 ;4.320;1.084;33;5.437;2.207;23,9;0,16 
2023-01-02 23:00;2.309;676;44;3.029;1.310;31,6;0,18 ;1.000;165;7;1.172;424;20,7;0,06 ;3.309;841;51;4.201;1.735;26,1;0,12 
2023-01-03 00:00;2.160;903;38;3.101;1.492;32,6;0,21 ;755;149;5;909;344;22,4;0,05 ;2.915;1.052;43;4.010;1.837;27,5;0,13 
2023-01-03 01:00;1.906;880;22;2.808;1.385;34,3;0,19 ;407;78;5;490;186;21,1;0,03 ;2.313;958;27;3.298;1.571;27,6;0,11 
2023-01-03 02:00;1.353;804;31;2.188;1.183;33,4;0,17 ;295;69;4;368;148;22,1;0,02 ;1.648;873;35;2.556;1.331;27,6;0,09 
2023-01-03 03:00;947;816;79;1.842;1.155;36,1;0,16 ;229;152;3;384;213;21,4;0,03 ;1.176;968;82;2.226;1.369;28,5;0,10 
2023-01-03 04:00;947;825;119;1.891;1.216;37,3;0,17 ;255;117;7;379;190;24,6;0,03 ;1.202;942;126;2.270;1.406;30,7;0,10 
2023-01-03 05:00;3.095;875;189;4.159;1.894;31,3;0,27 ;690;121;26;837;327;23,2;0,05 ;3.785;996;215;4.996;2.222;27,3;0,16 
2023-01-03 06:00;3.470;947;144;4.561;2.002;28,0;0,28 ;1.267;150;49;1.466;530;23,1;0,07 ;4.737;1.097;193;6.027;2.532;25,6;0,18 
2023-01-03 07:00;5.251;1.057;155;6.463;2.571;22,7;0,36 ;2.936;302;49;3.287;1.100;21,2;0,15 ;8.187;1.359;204;9.750;3.671;21,9;0,26 
2023-01-03 08:00;4.510;977;84;5.571;2.214;25,1;0,31 ;3.335;407;49;3.791;1.304;20,6;0,18 ;7.845;1.384;133;9.362;3.518;22,9;0,25 
2023-01-03 09:00;3.796;1.066;100;4.962;2.145;24,5;0,30 ;2.506;372;54;2.932;1.069;19,7;0,15 ;6.302;1.438;154;7.894;3.214;22,0;0,23 
2023-01-03 10:00;2.664;978;85;3.727;1.755;21,9;0,25 ;2.569;407;38;3.014;1.099;19,3;0,15 ;5.233;1.385;123;6.741;2.853;20,6;0,20 
2023-01-03 11:00;1.936;874;46;2.856;1.418;27,0;0,20 ;2.636;509;37;3.182;1.216;18,2;0,17 ;4.572;1.383;83;6.038;2.634;22,5;0,19 
2023-01-03 12:00;1.834;796;34;2.664;1.299;26,6;0,18 ;2.528;521;46;3.095;1.213;18,0;0,17 ;4.362;1.317;80;5.759;2.512;22,3;0,18 
2023-01-03 13:00;1.558;848;60;2.466;1.316;25,3;0,19 ;2.405;534;37;2.976;1.183;17,5;0,17 ;3.963;1.382;97;5.442;2.499;21,4;0,18 
2023-01-03 14:00;1.527;693;37;2.257;1.123;25,8;0,16 ;2.224;429;25;2.678;1.018;17,1;0,14 ;3.751;1.122;62;4.935;2.140;21,4;0,15 
2023-01-03 15:00;1.861;851;68;2.780;1.405;25,4;0,20 ;2.707;503;52;3.262;1.247;17,4;0,18 ;4.568;1.354;120;6.042;2.652;21,3;0,19 
2023-01-03 16:00;2.285;703;66;3.054;1.360;25,7;0,19 ;3.475;465;55;3.995;1.405;16,3;0,20 ;5.760;1.168;121;7.049;2.765;21,0;0,19 
2023-01-03 17:00;2.554;814;60;3.428;1.531;24,4;0,22 ;4.191;387;58;4.636;1.510;16,2;0,21 ;6.745;1.201;118;8.064;3.041;20,3;0,21 
2023-01-03 18:00;2.203;815;63;3.081;1.448;26,4;0,20 ;2.988;371;55;3.414;1.190;16,3;0,17 ;5.191;1.186;118;6.495;2.637;21,3;0,19 
2023-01-03 19:00;1.306;468;22;1.796;823;26,6;0,12 ;1.621;230;24;1.875;666;17,5;0,09 ;2.927;698;46;3.671;1.490;22,0;0,10 
2023-01-03 20:00;1.080;442;17;1.539;734;28,0;0,10 ;1.490;238;20;1.748;637;17,0;0,09 ;2.570;680;37;3.287;1.371;22,3;0,10 
2023-01-03 21:00;1.803;774;29;2.606;1.262;26,3;0,18 ;1.914;348;23;2.285;856;17,9;0,12 ;3.717;1.122;52;4.891;2.119;22,1;0,15 
2023-01-03 22:00;1.644;617;22;2.283;1.057;29,7;0,15 ;1.433;272;13;1.718;647;18,0;0,09 ;3.077;889;35;4.001;1.704;23,9;0,12 
2023-01-03 23:00;1.118;444;24;1.586;755;32,3;0,11 ;942;176;7;1.125;421;18,8;0,06 ;2.060;620;31;2.711;1.175;25,4;0,08 
2023-01-04 00:00;1.485;671;55;2.211;1.114;32,6;0,16 ;596;172;5;773;328;22,1;0,05 ;2.081;843;60;2.984;1.441;27,3;0,10 
2023-01-04 01:00;763;526;25;1.314;749;33,3;0,11 ;316;68;1;385;148;19,1;0,02 ;1.079;594;26;1.699;898;26,1;0,06 
2023-01-04 02:00;625;376;32;1.033;574;26,5;0,08 ;219;45;1;265;101;20,0;0,01 ;844;421;33;1.298;675;23,2;0,05 
2023-01-04 03:00;23;14;0;37;20;34,9;0,00 ;199;82;2;283;134;19,2;0,02 ;222;96;2;320;154;20,7;0,01 
2023-01-04 04:00;0;0;0;0;0;;0,00 ;220;86;5;311;148;23,4;0,02 ;220;86;5;311;148;23,4;0,01 
2023-01-04 05:00;0;0;0;0;0;;0,00 ;719;130;32;881;351;22,3;0,05 ;719;130;32;881;351;22,3;0,02 
2023-01-04 06:00;0;0;0;0;0;;0,00 ;1.507;225;38;1.770;651;21,7;0,09 ;1.507;225;38;1.770;651;21,7;0,05 
2023-01-04 07:00;818;113;7;938;327;29,3;0,05 ;3.107;322;45;3.474;1.157;20,5;0,16 ;3.925;435;52;4.412;1.484;21,7;0,10 
2023-01-04 08:00;3.690;902;118;4.710;1.978;29,5;0,28 ;3.663;408;44;4.115;1.381;19,6;0,19 ;7.353;1.310;162;8.825;3.359;24,2;0,24 
2023-01-04 09:00;2.190;703;56;2.949;1.323;26,2;0,19 ;2.706;349;45;3.100;1.084;19,9;0,15 ;4.896;1.052;101;6.049;2.407;22,9;0,17 
2023-01-04 10:00;1.961;824;43;2.828;1.370;25,5;0,19 ;2.781;458;36;3.275;1.200;19,1;0,17 ;4.742;1.282;79;6.103;2.570;22,3;0,18 
2023-01-04 11:00;1.263;657;32;1.952;1.014;24,0;0,14 ;2.709;465;41;3.215;1.196;18,1;0,17 ;3.972;1.122;73;5.167;2.210;20,6;0,16 
2023-01-04 12:00;0;0;0;0;0;;0,00 ;2.881;521;31;3.433;1.282;17,5;0,18 ;2.881;521;31;3.433;1.282;17,5;0,09 
2023-01-04 13:00;600;200;24;824;381;21,0;0,05 ;2.650;502;35;3.187;1.210;16,0;0,17 ;3.250;702;59;4.011;1.591;17,1;0,11 
2023-01-04 14:00;59;3;0;62;18;25,5;0,00 ;2.761;524;34;3.319;1.258;15,4;0,18 ;2.820;527;34;3.381;1.276;15,8;0,09 
2023-01-04 15:00;2.248;832;101;3.181;1.525;20,8;0,21 ;2.510;460;33;3.003;1.130;14,9;0,16 ;4.758;1.292;134;6.184;2.656;16,8;0,19 
2023-01-04 16:00;380;105;29;514;238;23,7;0,03 ;3.117;401;53;3.571;1.249;14,4;0,18 ;3.497;506;82;4.085;1.487;15,3;0,10 
2023-01-04 17:00;73;44;6;123;70;13,0;0,01 ;3.750;406;41;4.197;1.397;14,9;0,20 ;3.823;450;47;4.320;1.467;14,8;0,10 
2023-01-04 18:00;70;48;5;123;72;7,3;0,01 ;2.942;266;39;3.247;1.052;16,1;0,15 ;3.012;314;44;3.370;1.124;15,6;0,08 
2023-01-04 19:00;131;62;0;193;95;24,3;0,01 ;2.381;293;30;2.704;927;15,8;0,13 ;2.512;355;30;2.897;1.022;16,2;0,07 
2023-01-04 20:00;;;;;;;;1.881;264;29;2.174;772;17,3;0,11 ;1.881;264;29;2.174;772;17,3;0,11 
